No,Nama Pesantren,Alamat,Telepon,Desa/Kelurahan,Kecamatan,Kode Pos,Tahun Berdiri,Nama Pimpinan,Kurikulum,Fasilitas,Biaya Masuk (Rp),Biaya Bulanan (Rp)
166,Pondok Pesantren Nurul Huda,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
167,Pondok Pesantren Miftahul Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
168,Pondok Pesantren Darul Ulum,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
169,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
170,Pondok Pesantren Al Barokah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
171,Pondok Pesantren Al Furqan,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
172,Pondok Pesantren Al Mujahidin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
173,Pondok Pesantren Miftahul Jannah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
174,Pondok Pesantren Al Ikhlas,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
175,Pondok Pesantren Darussalam,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
176,Pondok Pesantren Darul Ihya,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
177,Pondok Pesantren Al Muta'allimun,-,,,-,,,"-",Salaf,"Masjid, Asrama, Sekolah","1.000.000 - 2.000.000","150.000 - 300.000"
178,Pondok Pesantren Al Magfiroh,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","150.000 - 350.000"
179,Pondok Pesantren Al Mubtadiin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
180,Pondok Pesantren Al Mubaid,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
181,Pondok Pesantren Miftahul Jannah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
182,Pondok Pesantren Al Barokah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
183,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
184,Pondok Pesantren Binaul Ummah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
185,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
186,Pondok Pesantren Miftahul Huda,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.500.000","200.000 - 400.000"
187,Pondok Pesantren Nurul Hidayah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
188,Pondok Pesantren Darul Amin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
189,Pondok Pesantren Darul Hikmah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
190,Pondok Pesantren Al Ikhlas,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
191,Pondok Pesantren Al Fatah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
192,Pondok Pesantren Darul Hikmah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
193,Pondok Pesantren Miftahul Huda,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.500.000","200.000 - 400.000"
194,Pondok Pesantren Al Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
195,Pondok Pesantren Nurul Ihsan,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
196,Pondok Pesantren Al Miftah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
197,Pondok Pesantren Nurul Islam,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
198,Pondok Pesantren Al Barokah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
199,Pondok Pesantren An Nur,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
200,Pondok Pesantren Darul Ihsan,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
201,Pondok Pesantren Nurul Islam,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
202,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
203,Pondok Pesantren Darussalam,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
204,Pondok Pesantren Al Mufid,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
205,Pondok Pesantren Darul Ma'rifat,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
206,Pondok Pesantren Al-Barokah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
207,Pondok Pesantren An-Nur,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
208,Pondok Pesantren Miftahul Jannah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
209,Pondok Pesantren Darul Hikmah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
210,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
211,Pondok Pesantren Al Hidayah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
212,Pondok Pesantren Al Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
213,Pondok Pesantren Nurul Ihsan,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
214,Pondok Pesantren Al Barakah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
215,Pondok Pesantren Miftahul Khair,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
216,Pondok Pesantren Al Ikhlas,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
217,Pondok Pesantren Darul Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
218,Pondok Pesantren An-Najah,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
219,Pondok Pesantren Al Mubarok,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
220,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
221,Pondok Pesantren Al Maghfiroh,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
222,Pondok Pesantren Miftahul Ulum,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.500.000","200.000 - 400.000"
223,Pondok Pesantren Al Hidayah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
224,Pondok Pesantren Baitul Makmur,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
225,Pondok Pesantren Darul Ulum,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
226,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
227,Pondok Pesantren Al Ikhlas,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
228,Pondok Pesantren Miftahul Huda,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.500.000","200.000 - 400.000"
229,Pondok Pesantren Nurul Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
230,Pondok Pesantren Darul Amanah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
231,Pondok Pesantren Al Barokah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
232,Pondok Pesantren Al Mutaqin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
233,Pondok Pesantren Al Istiqomah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
234,Pondok Pesantren Miftahul Mubtadiin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
235,Pondok Pesantren Al Barokah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
236,Pondok Pesantren Al Furqon,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
237,Pondok Pesantren Al Mujahidin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
238,Pondok Pesantren Darul Ma'arif,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
239,Pondok Pesantren Binaul Ummah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
240,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
241,Pondok Pesantren Nurul Huda,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
242,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
243,Pondok Pesantren Darussalam,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
244,Pondok Pesantren Al Barokah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
245,Pondok Pesantren Darul Ma'arif,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
246,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
247,Pondok Pesantren Al Hidayah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
248,Pondok Pesantren Al Ikhlas,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
249,Pondok Pesantren Miftahul Jannah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
250,Pondok Pesantren Nurul Islam,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
251,Pondok Pesantren Al Iman,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
252,Pondok Pesantren Al Hikmah,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
253,Pondok Pesantren Al Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
254,Pondok Pesantren Miftahul Mubtadiin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
255,Pondok Pesantren Al Hidayah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
256,Pondok Pesantren Darul Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
257,Pondok Pesantren Al Barokah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
258,Pondok Pesantren Nurul Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
259,Pondok Pesantren Al Istiqomah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
260,Pondok Pesantren Miftahul Mubtadiin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
261,Pondok Pesantren Al Hidayah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
262,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
263,Pondok Pesantren Binaul Ummah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
264,Pondok Pesantren Nurul Ihsan,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
265,Pondok Pesantren Darul Hikmah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
266,Pondok Pesantren Al Iman,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
267,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
268,Pondok Pesantren Al Barokah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
269,Pondok Pesantren Darul Ma’arif,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
270,Pondok Pesantren Al Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
271,Pondok Pesantren Miftahul Khair,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
272,Pondok Pesantren Al Ikhlas,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
273,Pondok Pesantren Darul Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
274,Pondok Pesantren An-Najah,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
275,Pondok Pesantren Al Mubarok,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
276,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
277,Pondok Pesantren Al Barokah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
278,Pondok Pesantren Darul Hikmah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
279,Pondok Pesantren Nurul Islam,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"

